CodePoints,EmojiStatus,EmojiRepresentation,EmojiName,EmojiGroup,EmojiSubGroup
"1F600","fully-qualified","😀","grinning face","SmileysAndPeople","face-positive"
"1F601","fully-qualified","😁","beaming face with smiling eyes","SmileysAndPeople","face-positive"
"1F602","fully-qualified","😂","face with tears of joy","SmileysAndPeople","face-positive"
"1F923","fully-qualified","🤣","rolling on the floor laughing","SmileysAndPeople","face-positive"
"1F603","fully-qualified","😃","grinning face with big eyes","SmileysAndPeople","face-positive"
"1F604","fully-qualified","😄","grinning face with smiling eyes","SmileysAndPeople","face-positive"
"1F605","fully-qualified","😅","grinning face with sweat","SmileysAndPeople","face-positive"
"1F606","fully-qualified","😆","grinning squinting face","SmileysAndPeople","face-positive"
"1F609","fully-qualified","😉","winking face","SmileysAndPeople","face-positive"
"1F60A","fully-qualified","😊","smiling face with smiling eyes","SmileysAndPeople","face-positive"
"1F60B","fully-qualified","😋","face savoring food","SmileysAndPeople","face-positive"
"1F60E","fully-qualified","😎","smiling face with sunglasses","SmileysAndPeople","face-positive"
"1F60D","fully-qualified","😍","smiling face with heart-eyes","SmileysAndPeople","face-positive"
"1F618","fully-qualified","😘","face blowing a kiss","SmileysAndPeople","face-positive"
"1F970","fully-qualified","🥰","smiling face with 3 hearts","SmileysAndPeople","face-positive"
"1F617","fully-qualified","😗","kissing face","SmileysAndPeople","face-positive"
"1F619","fully-qualified","😙","kissing face with smiling eyes","SmileysAndPeople","face-positive"
"1F61A","fully-qualified","😚","kissing face with closed eyes","SmileysAndPeople","face-positive"
"263A FE0F","fully-qualified","☺️","smiling face","SmileysAndPeople","face-positive"
"263A","non-fully-qualified","☺","smiling face","SmileysAndPeople","face-positive"
"1F642","fully-qualified","🙂","slightly smiling face","SmileysAndPeople","face-positive"
"1F917","fully-qualified","🤗","hugging face","SmileysAndPeople","face-positive"
"1F929","fully-qualified","🤩","star-struck","SmileysAndPeople","face-positive"
"1F914","fully-qualified","🤔","thinking face","SmileysAndPeople","face-neutral"
"1F928","fully-qualified","🤨","face with raised eyebrow","SmileysAndPeople","face-neutral"
"1F610","fully-qualified","😐","neutral face","SmileysAndPeople","face-neutral"
"1F611","fully-qualified","😑","expressionless face","SmileysAndPeople","face-neutral"
"1F636","fully-qualified","😶","face without mouth","SmileysAndPeople","face-neutral"
"1F644","fully-qualified","🙄","face with rolling eyes","SmileysAndPeople","face-neutral"
"1F60F","fully-qualified","😏","smirking face","SmileysAndPeople","face-neutral"
"1F623","fully-qualified","😣","persevering face","SmileysAndPeople","face-neutral"
"1F625","fully-qualified","😥","sad but relieved face","SmileysAndPeople","face-neutral"
"1F62E","fully-qualified","😮","face with open mouth","SmileysAndPeople","face-neutral"
"1F910","fully-qualified","🤐","zipper-mouth face","SmileysAndPeople","face-neutral"
"1F62F","fully-qualified","😯","hushed face","SmileysAndPeople","face-neutral"
"1F62A","fully-qualified","😪","sleepy face","SmileysAndPeople","face-neutral"
"1F62B","fully-qualified","😫","tired face","SmileysAndPeople","face-neutral"
"1F634","fully-qualified","😴","sleeping face","SmileysAndPeople","face-neutral"
"1F60C","fully-qualified","😌","relieved face","SmileysAndPeople","face-neutral"
"1F61B","fully-qualified","😛","face with tongue","SmileysAndPeople","face-neutral"
"1F61C","fully-qualified","😜","winking face with tongue","SmileysAndPeople","face-neutral"
"1F61D","fully-qualified","😝","squinting face with tongue","SmileysAndPeople","face-neutral"
"1F924","fully-qualified","🤤","drooling face","SmileysAndPeople","face-neutral"
"1F612","fully-qualified","😒","unamused face","SmileysAndPeople","face-neutral"
"1F613","fully-qualified","😓","downcast face with sweat","SmileysAndPeople","face-neutral"
"1F614","fully-qualified","😔","pensive face","SmileysAndPeople","face-neutral"
"1F615","fully-qualified","😕","confused face","SmileysAndPeople","face-neutral"
"1F643","fully-qualified","🙃","upside-down face","SmileysAndPeople","face-neutral"
"1F911","fully-qualified","🤑","money-mouth face","SmileysAndPeople","face-neutral"
"1F632","fully-qualified","😲","astonished face","SmileysAndPeople","face-neutral"
"2639 FE0F","fully-qualified","☹️","frowning face","SmileysAndPeople","face-negative"
"2639","non-fully-qualified","☹","frowning face","SmileysAndPeople","face-negative"
"1F641","fully-qualified","🙁","slightly frowning face","SmileysAndPeople","face-negative"
"1F616","fully-qualified","😖","confounded face","SmileysAndPeople","face-negative"
"1F61E","fully-qualified","😞","disappointed face","SmileysAndPeople","face-negative"
"1F61F","fully-qualified","😟","worried face","SmileysAndPeople","face-negative"
"1F624","fully-qualified","😤","face with steam from nose","SmileysAndPeople","face-negative"
"1F622","fully-qualified","😢","crying face","SmileysAndPeople","face-negative"
"1F62D","fully-qualified","😭","loudly crying face","SmileysAndPeople","face-negative"
"1F626","fully-qualified","😦","frowning face with open mouth","SmileysAndPeople","face-negative"
"1F627","fully-qualified","😧","anguished face","SmileysAndPeople","face-negative"
"1F628","fully-qualified","😨","fearful face","SmileysAndPeople","face-negative"
"1F629","fully-qualified","😩","weary face","SmileysAndPeople","face-negative"
"1F92F","fully-qualified","🤯","exploding head","SmileysAndPeople","face-negative"
"1F62C","fully-qualified","😬","grimacing face","SmileysAndPeople","face-negative"
"1F630","fully-qualified","😰","anxious face with sweat","SmileysAndPeople","face-negative"
"1F631","fully-qualified","😱","face screaming in fear","SmileysAndPeople","face-negative"
"1F975","fully-qualified","🥵","hot face","SmileysAndPeople","face-negative"
"1F976","fully-qualified","🥶","cold face","SmileysAndPeople","face-negative"
"1F633","fully-qualified","😳","flushed face","SmileysAndPeople","face-negative"
"1F92A","fully-qualified","🤪","zany face","SmileysAndPeople","face-negative"
"1F635","fully-qualified","😵","dizzy face","SmileysAndPeople","face-negative"
